review,label,y_predict
bò né ở đây mặc_dù trong hẻm hóc nhưng mà rất đông quán lại sạch_sẽ ko có nhày_nhụa,2,1
nhân_viên ở đây có vẻ hơi lừ_đừ không_gian rộng khá mát khách ở đây không đông cho lắm,0,1
qán này ở tđ bắt_chước cf đen đá làm ko ngon đen đá đâu,1,2
bò bít tết toàn ăn_ở bò vàng sốt đậm hơn hai con bò nhiều lúc order nên chọn bò miếng dày ăn ngon hơn p nhưng giá hơi cao tại lần nào ghé mình cũng kêu phần 150gr ăn cho đã có 1 điều mình k thích chính là không_gian quá nóng k thèm trang_bị thêm quạt lạnh gì hết mono9x,0,1
mỗi tội ở đường 1 chiều lại hay kẹt xe nữa anngapmat lozisaigon banhmichao ngon buasangdinhduong,1,2
quán chật_hẹp và nhỏ,1,2
bên quán này nhỏ hơn nhiều cơ_mà đồ ăn thì ngon nhỉnh hơn luôn,2,0
quán cực đông dù rất nhỏ vị_trí dễ tìm ngay bên hông công_viên lê thị riêng,0,2
nhìn tới nhìn lui nhiều nấm và hành phi tôm khô chà_bông chấm_hết xôi nhão nên dzễ ngán hơn xôi trắng lần sau quay lại xôi phá lấu thoiiii,2,1
lozi lozisaigon anchinh chả ngon,0,2
tất_cả tuyệt_vời trừ mấy cô tiếp_thị bia,1,0
chung_quy là ngon không cưỡng nổi tiếc là quán chỉ bán từ 5h chiều đến tối nên buổi trưa k được thưởng_thức nghĩ_lại thèm chẹp chẹp,2,1
mình gọi ếch vị sing và cháo vị toỉ cháo đặc thơm tỏi phi còn mềm chưa dc giòn lắm êch tươi thịt dai gia_vị đậm_đà nhưng hoi cay,0,2
ếch xào măng chua k có j đặc_sắc lắm nhưng cũng tạm chấp_nhận đc,2,0
ngon nhưng hơi ít bánh phải nói là cắn nó ngon hơn các loại bánh hủ tíu thường có đìu ít quá gắp cỡ 3 4 đũa là hết r mà giá lại khá cao,2,1
ở đây có rất nhiều loại cá lạ hơi bị hiếm giá nghe cũng hết_hồn toàn hơn 1trkg,2,1
về udon thì mình thấy ăn ổn nhưng không ấn_tượng bằng các món đã kể ở trên dù vậy một đĩa như hình siêu nhiều luôn nha các cậu hai đứa mình ăn mà no óc_ách luôn đó,0,2
mình sẽ kbg đến đây nữa,1,0
mấy bạn đi ăn nhớ đem sẵn khăn giấy theo trên bàn không có đâu í,1,0
cảm_giác ăn một phần cháo ếch cay thật cay cái ấm của gừng của tỏi làm mình ấm bụng đổ mồ_hôi hổng muốn bệnh nữa luôn,2,0
bò lúc mang ra là đã nguội thịt dai nhai như nhai giẻ rách,1,2
quán ngay khu trung_tâm khá đông nhất vào giờ ăn trưa phải book chỗ trước,0,2
nói_chung mấy quán ốc 20k rẻ thì ai cũng thik nhưng chất_lượng chưa ổn,1,2
có đồ chua thì chưa được ok thôi hà,1,2
mình sẽ không ghé lại quán này nữa,1,0
đồ ăn_ở đây cũng khá ngon tuy_nhiên không nên vào đây để ăn,0,1
bạn nhân_viên tận_tình mang mắm_tôm ra kèm theo hướng_dẫn 1 chén mắm 2 muỗng đường 2 trái tắc công_thức vàng đã được khoa_học chứng_minh,0,2
000đ2 người ấn_tượng nhất_nhất ở đây là cục bò_viên,2,0
miễn_phí,2,0
món này ngon mà mắc quá chả biết tại_sao nó mắc,1,2
bánh_canh có vẻ nhiều nước_lèo có trứng mây như súp cua áh quẩy 5k nước mía 5k,0,2
giá này hợp túi_tiền với một quán bình dzân lề_đường mà vẫn đầy_đủ topping nước_lèo hơi nhạt một_tí mình vẫn nghe cái mùi mà k ai nghe có_lẽ ăn nh sẽ quen nhưng tụi mình vẫn nhất_trí là quán này oke,2,1
sau khi ăn xong mình biết vì sao quán đông thế này là do đồ ăn rẻ thôi giá đồ ăn trung_bình từ 49k 69k cho gà sườn mì ý cơm là hết_mức,0,2
nhìn_chung bò hơi mỏng nêm nếp hơi nhạt thiếu vị ngọt pate mình cũng không thích lắm khá thơm ngon,1,2
nước_mắm cũng bình_thường mấy loại bánh thì mình thấy bánh bột lọc ăn ngon nhất nem cũng khá ngon còn lại đều thường,0,1
có nạc sụn mỡ đầy_đủ ăn k bị ngán,2,1
quán không_gian nhỏ không có bàn ngoài_trời nên ngồi trong nhà bàn nào cũng ăn lẩu nên nóng và hầm ăn cũng mất ngon đi nhiều,0,2
thèm thịt nướng mà giá rẻ vào đây cũng tạm ổn,0,2
quán khá đẹp giá hơi cao chút khách ko quá đông,0,1
một mẹt không nhiều lắm đậu rán hơi dầu_mỡ chắc do khách đông nên chiên vội chả cốm ăn cũng khá là ngon nếu chưa no có_thể gọi thêm bún,1,0
bún thập_cẩm ngon hơn có nem cuốn thịt nướng và chả,0,2
quán nằm trg hẻm nên hơi khó tìm bù lại kgian yên_tĩnh và đẹp,2,0
